"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Inventory Page Integrity Check","15","0","","0"
"0","","12","Cart Page Functionality","8","0","","0"
"0","","5","Inventory Page Sorting","11","0","","0"
"0","","0","Checkout Contact Information","8","0","","0"
"0","","2","Inventory Page Cart","6","0","","0"
"0","","0","Checkout Overview","8","0","","0"
"0","","0","","0","0","","10"
"0","","1","User Login","12","0","","0"
"0","","0","Cart Page Integrity Check","4","0","","0"
